text,label
"Commercial Distribution Agreement
Contract Number: AGMT-2025-3852
Date: 02-10-2020
PARTIES
This Agreement is made between Superior Group LLC (hereinafter referred to as 'Party A') AND Christopher Smith (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. This Agreement constitutes the entire understanding between the parties and supersedes all prior agreements.
2. Force majeure events shall excuse performance for the duration of such events.
3. All confidential information disclosed during the term of this Agreement shall remain confidential for 7 years.


SIGNATURES",Contract
"Legal Marketing Services Agreement
Contract Number: AGMT-2025-5227
Date: 03-09-2023
PARTIES
This Agreement is made between Peak Systems Ltd (hereinafter referred to as 'Party A') AND Richard Williams (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Either party may terminate this Agreement with 90 days written notice.
2. Party A warrants that the services will be performed in a professional and workmanlike manner.
3. The parties agree to maintain appropriate insurance coverage throughout the term of this Agreement.


SIGNATURES",Contract
"Commercial Marketing Services Agreement
Contract Number: AGMT-2025-5834
Date: 14-09-2023
PARTIES
This Agreement is made between Pro Industries Co (hereinafter referred to as 'Party A') AND Elite Systems Partners (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Force majeure events shall excuse performance for the duration of such events.
2. All confidential information disclosed during the term of this Agreement shall remain confidential for 2 years.
3. The term of this Agreement shall be thirty days from the effective date.


SIGNATURES",Contract
"Exclusive Loan Agreement
Contract Number: AGMT-2025-5915
Date: 12-02-2023
PARTIES
This Agreement is made between Advanced Systems International (hereinafter referred to as 'Party A') AND Pro Tech LLC (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Neither party may assign this Agreement without the prior written consent of the other party.
2. The parties agree to maintain appropriate insurance coverage throughout the term of this Agreement.
3. Force majeure events shall excuse performance for the duration of such events.


SIGNATURES",Contract
"Technical License Agreement
Contract Number: AGMT-2025-6250
Date: 16-11-2021
PARTIES
This Agreement is made between Superior Systems LLC (hereinafter referred to as 'Party A') AND Nexus Industries International (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. The term of this Agreement shall be six months from the effective date.
2. All confidential information disclosed during the term of this Agreement shall remain confidential for 3 years.
3. Either party may terminate this Agreement with 30 days written notice.


SIGNATURES",Contract
"Professional Distribution Agreement
Contract Number: AGMT-2025-6638
Date: 06-01-2021
PARTIES
This Agreement is made between James Martinez (hereinafter referred to as 'Party A') AND Superior Logistics LLC (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Limitation of liability shall not exceed $25000 for any claim arising from this Agreement.
2. The term of this Agreement shall be one year from the effective date.
3. Party A warrants that the services will be performed in a professional and workmanlike manner.


SIGNATURES",Contract
"Technical Sales Contract
Contract Number: AGMT-2025-6681
Date: 19-11-2020
PARTIES
This Agreement is made between David Rodriguez (hereinafter referred to as 'Party A') AND Superior Industries Ltd (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in New York.
2. Force majeure events shall excuse performance for the duration of such events.
3. Either party may terminate this Agreement with 30 days written notice.


SIGNATURES",Contract
"Standard Software Development Agreement
Contract Number: AGMT-2025-7206
Date: 12-10-2022
PARTIES
This Agreement is made between Global Services LLC (hereinafter referred to as 'Party A') AND Michael Martinez (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. This Agreement shall be governed by and construed in accordance with the laws of the State of Massachusetts.
2. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in Los Angeles.
3. Party B shall compensate Party A at the rate of $50 per hour for services rendered.


SIGNATURES",Contract
"Binding License Agreement
Contract Number: AGMT-2025-7444
Date: 20-07-2021
PARTIES
This Agreement is made between Christopher Jones (hereinafter referred to as 'Party A') AND John Brown (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Force majeure events shall excuse performance for the duration of such events.
2. All intellectual property created under this Agreement shall be owned by Party A.
3. Any modification to this Agreement must be in writing and signed by both parties.


SIGNATURES",Contract
"Standard Confidentiality Agreement
Contract Number: AGMT-2025-7614
Date: 24-07-2023
PARTIES
This Agreement is made between Global Enterprises Partners (hereinafter referred to as 'Party A') AND Michael Jones (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All confidential information disclosed during the term of this Agreement shall remain confidential for 3 years.
2. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in Houston.
3. Force majeure events shall excuse performance for the duration of such events.


SIGNATURES",Contract
"Comprehensive Purchase Agreement
Contract Number: AGMT-2025-7974
Date: 14-09-2021
PARTIES
This Agreement is made between Prime Enterprises LLC (hereinafter referred to as 'Party A') AND Michael Martinez (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. The term of this Agreement shall be one year from the effective date.
2. Limitation of liability shall not exceed $10000 for any claim arising from this Agreement.
3. Party B shall compensate Party A at the rate of $150 per day for services rendered.


SIGNATURES",Contract
"Mutual Maintenance Agreement
Contract Number: AGMT-2025-8152
Date: 20-09-2022
PARTIES
This Agreement is made between Joseph Martinez (hereinafter referred to as 'Party A') AND Elite Logistics Associates (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. This Agreement constitutes the entire understanding between the parties and supersedes all prior agreements.
2. The term of this Agreement shall be one year from the effective date.
3. Party A warrants that the services will be performed in a professional and workmanlike manner.


SIGNATURES",Contract
"Exclusive Non-Disclosure Agreement
Contract Number: AGMT-2025-8607
Date: 24-06-2022
PARTIES
This Agreement is made between David Davis (hereinafter referred to as 'Party A') AND Omega Tech International (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Either party may terminate this Agreement with 30 days written notice.
2. Force majeure events shall excuse performance for the duration of such events.
3. Party B shall compensate Party A at the rate of $150 per hour for services rendered.


SIGNATURES",Contract
"Comprehensive License Agreement
Contract Number: AGMT-2025-8647
Date: 23-09-2022
PARTIES
This Agreement is made between Omega Logistics Co (hereinafter referred to as 'Party A') AND David Brown (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Party A warrants that the services will be performed in a professional and workmanlike manner.
2. This Agreement shall be governed by and construed in accordance with the laws of the State of California.
3. Neither party may assign this Agreement without the prior written consent of the other party.


SIGNATURES",Contract
"Legal Maintenance Agreement
Contract Number: AGMT-2025-8750
Date: 26-04-2021
PARTIES
This Agreement is made between Alpha Logistics Group (hereinafter referred to as 'Party A') AND Advanced Industries Worldwide (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All intellectual property created under this Agreement shall be owned by the creating party.
2. Party B shall compensate Party A at the rate of $50 per week for services rendered.
3. Party A shall provide marketing services in accordance with the specifications outlined in Exhibit A.


SIGNATURES",Contract
"Legal Consulting Agreement
Contract Number: AGMT-2025-8973
Date: 25-11-2020
PARTIES
This Agreement is made between Elite Industries International (hereinafter referred to as 'Party A') AND Pro Ventures Corp (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Either party may terminate this Agreement with 90 days written notice.
2. This Agreement shall be governed by and construed in accordance with the laws of the State of New York.
3. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in New York.


SIGNATURES",Contract
"Commercial Partnership Agreement
Contract Number: AGMT-2025-9064
Date: 26-04-2022
PARTIES
This Agreement is made between Nexus Logistics Group (hereinafter referred to as 'Party A') AND Global Group LLC (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in Chicago.
2. This Agreement shall be governed by and construed in accordance with the laws of the State of Massachusetts.
3. Limitation of liability shall not exceed $10000 for any claim arising from this Agreement.


SIGNATURES",Contract
"Binding Non-Disclosure Agreement
Contract Number: AGMT-2025-9101
Date: 09-04-2020
PARTIES
This Agreement is made between Peak Services Worldwide (hereinafter referred to as 'Party A') AND Peak Tech Corp (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Neither party may assign this Agreement without the prior written consent of the other party.
2. This Agreement constitutes the entire understanding between the parties and supersedes all prior agreements.
3. Party B shall compensate Party A at the rate of $250 per week for services rendered.


SIGNATURES",Contract
"Binding Loan Agreement
Contract Number: AGMT-2025-9184
Date: 28-02-2022
PARTIES
This Agreement is made between Global Logistics International (hereinafter referred to as 'Party A') AND David Williams (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Neither party may assign this Agreement without the prior written consent of the other party.
2. This Agreement shall be governed by and construed in accordance with the laws of the State of Massachusetts.
3. Party A shall provide maintenance services in accordance with the specifications outlined in Exhibit A.


SIGNATURES",Contract
"Mutual Non-Disclosure Agreement
Contract Number: AGMT-2025-9370
Date: 09-01-2021
PARTIES
This Agreement is made between Prime Systems Partners (hereinafter referred to as 'Party A') AND David Smith (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Party B shall compensate Party A at the rate of $125 per month for services rendered.
2. The term of this Agreement shall be three years from the effective date.
3. Either party may terminate this Agreement with 60 days written notice.


SIGNATURES",Contract
"Exclusive Loan Agreement
Contract Number: AGMT-2025-9395
Date: 11-03-2021
PARTIES
This Agreement is made between Richard Williams (hereinafter referred to as 'Party A') AND Richard Miller (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Force majeure events shall excuse performance for the duration of such events.
2. The term of this Agreement shall be thirty days from the effective date.
3. Either party may terminate this Agreement with 30 days written notice.


SIGNATURES",Contract
"Non-Exclusive Sales Contract
Contract Number: AGMT-2025-9405
Date: 19-03-2023
PARTIES
This Agreement is made between Prime Dynamics LLC (hereinafter referred to as 'Party A') AND David Brown (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All confidential information disclosed during the term of this Agreement shall remain confidential for 5 years.
2. The term of this Agreement shall be five years from the effective date.
3. Limitation of liability shall not exceed $100000 for any claim arising from this Agreement.


SIGNATURES",Contract
"Commercial License Agreement
Contract Number: AGMT-2025-9641
Date: 20-06-2021
PARTIES
This Agreement is made between John Brown (hereinafter referred to as 'Party A') AND Superior Ventures International (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Any modification to this Agreement must be in writing and signed by both parties.
2. Party B shall compensate Party A at the rate of $125 per hour for services rendered.
3. This Agreement constitutes the entire understanding between the parties and supersedes all prior agreements.


SIGNATURES",Contract
"Professional Purchase Agreement
Contract Number: CNTR-2025-1179
Date: 02-02-2021
PARTIES
This Agreement is made between Advanced Enterprises Partners (hereinafter referred to as 'Party A') AND Peak Solutions Inc (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Party B shall compensate Party A at the rate of $100 per week for services rendered.
2. This Agreement shall be governed by and construed in accordance with the laws of the State of Washington.
3. The parties agree to maintain appropriate insurance coverage throughout the term of this Agreement.


SIGNATURES",Contract
"Comprehensive Employment Contract
Contract Number: CNTR-2025-1368
Date: 13-11-2021
PARTIES
This Agreement is made between Peak Systems Associates (hereinafter referred to as 'Party A') AND William Davis (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in Los Angeles.
2. All confidential information disclosed during the term of this Agreement shall remain confidential for 5 years.
3. This Agreement constitutes the entire understanding between the parties and supersedes all prior agreements.


SIGNATURES",Contract
"Professional Maintenance Agreement
Contract Number: CNTR-2025-2678
Date: 19-10-2023
PARTIES
This Agreement is made between John Martinez (hereinafter referred to as 'Party A') AND Joseph Davis (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Neither party may assign this Agreement without the prior written consent of the other party.
2. Force majeure events shall excuse performance for the duration of such events.
3. Party A warrants that the services will be performed in a professional and workmanlike manner.


SIGNATURES",Contract
"Comprehensive Sales Contract
Contract Number: CNTR-2025-2799
Date: 25-05-2021
PARTIES
This Agreement is made between Pro Logistics Corp (hereinafter referred to as 'Party A') AND Omega Dynamics International (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Any modification to this Agreement must be in writing and signed by both parties.
2. All confidential information disclosed during the term of this Agreement shall remain confidential for 2 years.
3. Either party may terminate this Agreement with 30 days written notice.


SIGNATURES",Contract
"Non-Exclusive Confidentiality Agreement
Contract Number: CNTR-2025-3505
Date: 08-10-2020
PARTIES
This Agreement is made between Alpha Enterprises Partners (hereinafter referred to as 'Party A') AND Thomas Miller (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in Los Angeles.
2. Force majeure events shall excuse performance for the duration of such events.
3. Party B shall compensate Party A at the rate of $75 per week for services rendered.


SIGNATURES",Contract
"Standard Confidentiality Agreement
Contract Number: CNTR-2025-3562
Date: 16-06-2020
PARTIES
This Agreement is made between Robert Brown (hereinafter referred to as 'Party A') AND Elite Enterprises International (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All intellectual property created under this Agreement shall be owned by the creating party.
2. Party A warrants that the services will be performed in a professional and workmanlike manner.
3. All confidential information disclosed during the term of this Agreement shall remain confidential for 3 years.


SIGNATURES",Contract
"Technical Lease Agreement
Contract Number: CNTR-2025-3640
Date: 26-09-2020
PARTIES
This Agreement is made between Alpha Solutions Inc (hereinafter referred to as 'Party A') AND James Jones (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. The term of this Agreement shall be thirty days from the effective date.
2. All intellectual property created under this Agreement shall be owned by the creating party.
3. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in Houston.


SIGNATURES",Contract
"Technical Software Development Agreement
Contract Number: CNTR-2025-3726
Date: 16-10-2021
PARTIES
This Agreement is made between Robert Johnson (hereinafter referred to as 'Party A') AND Superior Services Corp (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. The parties agree to maintain appropriate insurance coverage throughout the term of this Agreement.
2. All confidential information disclosed during the term of this Agreement shall remain confidential for 7 years.
3. Any modification to this Agreement must be in writing and signed by both parties.


SIGNATURES",Contract
"Standard Software Development Agreement
Contract Number: CNTR-2025-3990
Date: 25-03-2022
PARTIES
This Agreement is made between Richard Garcia (hereinafter referred to as 'Party A') AND Thomas Smith (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Party A shall provide maintenance services in accordance with the specifications outlined in Exhibit A.
2. This Agreement shall be governed by and construed in accordance with the laws of the State of Washington.
3. All intellectual property created under this Agreement shall be owned by the creating party.


SIGNATURES",Contract
"Non-Exclusive Sales Contract
Contract Number: CNTR-2025-6113
Date: 20-10-2023
PARTIES
This Agreement is made between Joseph Brown (hereinafter referred to as 'Party A') AND James Martinez (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. The parties agree to maintain appropriate insurance coverage throughout the term of this Agreement.
2. Limitation of liability shall not exceed $50000 for any claim arising from this Agreement.
3. Neither party may assign this Agreement without the prior written consent of the other party.


SIGNATURES",Contract
"Legal Lease Agreement
Contract Number: CNTR-2025-7079
Date: 22-10-2021
PARTIES
This Agreement is made between Nexus Ventures Group (hereinafter referred to as 'Party A') AND William Williams (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Party B shall compensate Party A at the rate of $200 per month for services rendered.
2. All confidential information disclosed during the term of this Agreement shall remain confidential for 7 years.
3. Neither party may assign this Agreement without the prior written consent of the other party.


SIGNATURES",Contract
"Mutual Non-Disclosure Agreement
Contract Number: CNTR-2025-7611
Date: 24-12-2023
PARTIES
This Agreement is made between James Williams (hereinafter referred to as 'Party A') AND David Brown (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in Houston.
2. All intellectual property created under this Agreement shall be owned by Party B.
3. This Agreement shall be governed by and construed in accordance with the laws of the State of New York.


SIGNATURES",Contract
"Comprehensive Partnership Agreement
Contract Number: CNTR-2025-7721
Date: 14-01-2020
PARTIES
This Agreement is made between Alpha Logistics Group (hereinafter referred to as 'Party A') AND Elite Industries Ltd (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Neither party may assign this Agreement without the prior written consent of the other party.
2. Party A shall provide maintenance services in accordance with the specifications outlined in Exhibit A.
3. The term of this Agreement shall be two years from the effective date.


SIGNATURES",Contract
"Standard Lease Agreement
Contract Number: CNTR-2025-7747
Date: 03-09-2020
PARTIES
This Agreement is made between David Jones (hereinafter referred to as 'Party A') AND Joseph Martinez (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. The term of this Agreement shall be thirty days from the effective date.
2. Any modification to this Agreement must be in writing and signed by both parties.
3. Neither party may assign this Agreement without the prior written consent of the other party.


SIGNATURES",Contract
"Non-Exclusive Confidentiality Agreement
Contract Number: CNTR-2025-7855
Date: 27-11-2022
PARTIES
This Agreement is made between David Jones (hereinafter referred to as 'Party A') AND John Miller (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Neither party may assign this Agreement without the prior written consent of the other party.
2. Limitation of liability shall not exceed $100000 for any claim arising from this Agreement.
3. Any modification to this Agreement must be in writing and signed by both parties.


SIGNATURES",Contract
"Binding Loan Agreement
Contract Number: CNTR-2025-8414
Date: 02-07-2022
PARTIES
This Agreement is made between Global Enterprises Inc (hereinafter referred to as 'Party A') AND Peak Enterprises Partners (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. The parties agree to maintain appropriate insurance coverage throughout the term of this Agreement.
2. Limitation of liability shall not exceed $10000 for any claim arising from this Agreement.
3. All intellectual property created under this Agreement shall be owned by the creating party.


SIGNATURES",Contract
"Standard Partnership Agreement
Contract Number: CNTR-2025-8775
Date: 19-08-2021
PARTIES
This Agreement is made between Joseph Rodriguez (hereinafter referred to as 'Party A') AND Alpha Tech LLC (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. This Agreement shall be governed by and construed in accordance with the laws of the State of New York.
2. Either party may terminate this Agreement with 90 days written notice.
3. The term of this Agreement shall be two years from the effective date.


SIGNATURES",Contract
"Commercial Confidentiality Agreement
Contract Number: CONT-2025-1818
Date: 17-02-2020
PARTIES
This Agreement is made between Nexus Dynamics Co (hereinafter referred to as 'Party A') AND Omega Services International (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Either party may terminate this Agreement with 60 days written notice.
2. Force majeure events shall excuse performance for the duration of such events.
3. Party A warrants that the services will be performed in a professional and workmanlike manner.


SIGNATURES",Contract
"Mutual Service Agreement
Contract Number: CONT-2025-1835
Date: 06-01-2022
PARTIES
This Agreement is made between Advanced Enterprises Inc (hereinafter referred to as 'Party A') AND Alpha Group Co (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Any modification to this Agreement must be in writing and signed by both parties.
2. Party B shall compensate Party A at the rate of $50 per day for services rendered.
3. Party A shall provide maintenance services in accordance with the specifications outlined in Exhibit A.


SIGNATURES",Contract
"Binding Loan Agreement
Contract Number: CONT-2025-2306
Date: 03-12-2020
PARTIES
This Agreement is made between Nexus Dynamics Worldwide (hereinafter referred to as 'Party A') AND Advanced Dynamics Group (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. This Agreement constitutes the entire understanding between the parties and supersedes all prior agreements.
2. All intellectual property created under this Agreement shall be owned by Party B.
3. Party A shall provide maintenance services in accordance with the specifications outlined in Exhibit A.


SIGNATURES",Contract
"Professional Partnership Agreement
Contract Number: CONT-2025-3274
Date: 26-06-2021
PARTIES
This Agreement is made between Thomas Brown (hereinafter referred to as 'Party A') AND Superior Group Group (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. The parties agree to maintain appropriate insurance coverage throughout the term of this Agreement.
2. Neither party may assign this Agreement without the prior written consent of the other party.
3. Party A warrants that the services will be performed in a professional and workmanlike manner.


SIGNATURES",Contract
"Exclusive Non-Disclosure Agreement
Contract Number: CONT-2025-3524
Date: 27-02-2021
PARTIES
This Agreement is made between Peak Dynamics Corp (hereinafter referred to as 'Party A') AND Peak Solutions Corp (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in Houston.
2. Either party may terminate this Agreement with 90 days written notice.
3. Force majeure events shall excuse performance for the duration of such events.


SIGNATURES",Contract
"Exclusive Confidentiality Agreement
Contract Number: CONT-2025-3593
Date: 15-10-2020
PARTIES
This Agreement is made between William Jones (hereinafter referred to as 'Party A') AND Michael Jones (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. This Agreement constitutes the entire understanding between the parties and supersedes all prior agreements.
2. Any modification to this Agreement must be in writing and signed by both parties.
3. Limitation of liability shall not exceed $100000 for any claim arising from this Agreement.


SIGNATURES",Contract
"Commercial Software Development Agreement
Contract Number: CONT-2025-3620
Date: 21-01-2022
PARTIES
This Agreement is made between Superior Industries Partners (hereinafter referred to as 'Party A') AND James Rodriguez (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All intellectual property created under this Agreement shall be owned by Party A.
2. This Agreement constitutes the entire understanding between the parties and supersedes all prior agreements.
3. All confidential information disclosed during the term of this Agreement shall remain confidential for 3 years.


SIGNATURES",Contract
"Legal Purchase Agreement
Contract Number: CONT-2025-3847
Date: 20-10-2020
PARTIES
This Agreement is made between Elite Industries Corp (hereinafter referred to as 'Party A') AND Nexus Ventures Associates (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in Philadelphia.
2. All intellectual property created under this Agreement shall be owned by Party B.
3. Limitation of liability shall not exceed $25000 for any claim arising from this Agreement.


SIGNATURES",Contract
"Commercial Service Agreement
Contract Number: CONT-2025-4173
Date: 24-12-2023
PARTIES
This Agreement is made between Superior Systems International (hereinafter referred to as 'Party A') AND Elite Solutions Worldwide (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. All intellectual property created under this Agreement shall be owned by Party B.
2. Party A warrants that the services will be performed in a professional and workmanlike manner.
3. All confidential information disclosed during the term of this Agreement shall remain confidential for 7 years.


SIGNATURES",Contract
"Binding Loan Agreement
Contract Number: CONT-2025-4610
Date: 28-01-2022
PARTIES
This Agreement is made between Superior Enterprises Co (hereinafter referred to as 'Party A') AND Joseph Johnson (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Party B shall compensate Party A at the rate of $75 per day for services rendered.
2. Party A warrants that the services will be performed in a professional and workmanlike manner.
3. All confidential information disclosed during the term of this Agreement shall remain confidential for 2 years.


SIGNATURES",Contract
"Non-Exclusive Confidentiality Agreement
Contract Number: CONT-2025-4611
Date: 25-08-2023
PARTIES
This Agreement is made between Superior Tech Corp (hereinafter referred to as 'Party A') AND Joseph Williams (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. Limitation of liability shall not exceed $100000 for any claim arising from this Agreement.
2. All intellectual property created under this Agreement shall be owned by Party A.
3. All disputes arising out of or relating to this Agreement shall be resolved through binding arbitration in Houston.


SIGNATURES",Contract
"Exclusive Employment Contract
Contract Number: CONT-2025-4926
Date: 01-10-2023
PARTIES
This Agreement is made between Omega Tech LLC (hereinafter referred to as 'Party A') AND David Davis (hereinafter referred to as 'Party B').

TERMS AND CONDITIONS
1. This Agreement shall be governed by and construed in accordance with the laws of the State of Texas.
2. All intellectual property created under this Agreement shall be owned by Party A.
3. The term of this Agreement shall be thirty days from the effective date.


SIGNATURES",Contract
